goal_image,steering_user_id,reference_prompt,reference_seed,model,attempt,generated_image,prompt,seed,dreamsim
https://storage.googleapis.com/promptsteering/c7771efc-af0d-4c14-9120-ed99c9dee176.png,610976474abf156433949f84,"A black tarantula on a brown rocky surface. The tarantula is in the center of the image. The tarantula has a red stripe on its back. There are no other objects in the image. The background is in soft focus and is not clear. The tarantula has eight legs that are in contact with the ground. The tarantula is posed in a defensive position, with its front legs raised. The image is a photograph. The style of the image is scientific illustration.",904977182,sd3.5-large-turbo,1,https://storage.googleapis.com/promptsteering/b9b120b9-5b9d-463e-9fe1-e8faf63af0f0.png,"Large, furry tarantula sitting on dusty, brown ground with rocks and dirt around it. ",1077587275,0.7679231762886047
https://storage.googleapis.com/promptsteering/c7771efc-af0d-4c14-9120-ed99c9dee176.png,610976474abf156433949f84,"A black tarantula on a brown rocky surface. The tarantula is in the center of the image. The tarantula has a red stripe on its back. There are no other objects in the image. The background is in soft focus and is not clear. The tarantula has eight legs that are in contact with the ground. The tarantula is posed in a defensive position, with its front legs raised. The image is a photograph. The style of the image is scientific illustration.",904977182,sd3.5-large-turbo,2,https://storage.googleapis.com/promptsteering/70d6500e-7f51-443c-9220-0adee6a75e9e.png,"Large, furry tarantula sitting at an angle on dusty, brown terrain with rocks and dirt around it. ",904977182,0.8074180483818054
https://storage.googleapis.com/promptsteering/c7771efc-af0d-4c14-9120-ed99c9dee176.png,610976474abf156433949f84,"A black tarantula on a brown rocky surface. The tarantula is in the center of the image. The tarantula has a red stripe on its back. There are no other objects in the image. The background is in soft focus and is not clear. The tarantula has eight legs that are in contact with the ground. The tarantula is posed in a defensive position, with its front legs raised. The image is a photograph. The style of the image is scientific illustration.",904977182,sd3.5-large-turbo,3,https://storage.googleapis.com/promptsteering/cc9b5502-5426-462e-9680-00e3b189f05e.png,"Large, furry black, brown, orange, and red arantula sitting at an angle on dusty, brown terrain with rocks and dirt around it. ",904977182,0.8378946781158447
https://storage.googleapis.com/promptsteering/c7771efc-af0d-4c14-9120-ed99c9dee176.png,610976474abf156433949f84,"A black tarantula on a brown rocky surface. The tarantula is in the center of the image. The tarantula has a red stripe on its back. There are no other objects in the image. The background is in soft focus and is not clear. The tarantula has eight legs that are in contact with the ground. The tarantula is posed in a defensive position, with its front legs raised. The image is a photograph. The style of the image is scientific illustration.",904977182,sd3.5-large-turbo,4,https://storage.googleapis.com/promptsteering/9b9724d1-c9d8-4ccb-b688-ee6ad646f07e.png,"Large, furry black-legged, black, orange and red bodied tarantula sitting at an angle on dusty, brown terrain with rocks and dirt around it. ",1077587275,0.8251691460609436
https://storage.googleapis.com/promptsteering/c7771efc-af0d-4c14-9120-ed99c9dee176.png,610976474abf156433949f84,"A black tarantula on a brown rocky surface. The tarantula is in the center of the image. The tarantula has a red stripe on its back. There are no other objects in the image. The background is in soft focus and is not clear. The tarantula has eight legs that are in contact with the ground. The tarantula is posed in a defensive position, with its front legs raised. The image is a photograph. The style of the image is scientific illustration.",904977182,sd3.5-large-turbo,5,https://storage.googleapis.com/promptsteering/b845176e-628c-440b-b88f-eb4e772e4e06.png,"Large, furry black-legged, black, orange and red bodied tarantula sitting at an angle on dusty, brown terrain with large gray rocks and small pebbles around it. ",1077587275,0.7745046019554138
https://storage.googleapis.com/promptsteering/3268e172-1166-45d6-bfc9-1330c8bc1aa2.png,610976474abf156433949f84,"The word ""clean"" in lowercase letters on the right. The ""c"" is slightly larger than the other letters, and all letters are red. The word ""filters"" in all capital letters on the right. The letters are black. A red square on the left with 26 white dots in 5 rows on top of each other.  The background is white. The style of the image is simple and modern. The image is a logo.",133255392,sd3.5-large-turbo,1,https://storage.googleapis.com/promptsteering/56c36021-9be9-40a5-8f98-d4a3b9a99fed.png,cean c clean logo with a large red box with a white c left above the logo and a large red c before the word clean,133255392,0.6778315901756287
https://storage.googleapis.com/promptsteering/3268e172-1166-45d6-bfc9-1330c8bc1aa2.png,610976474abf156433949f84,"The word ""clean"" in lowercase letters on the right. The ""c"" is slightly larger than the other letters, and all letters are red. The word ""filters"" in all capital letters on the right. The letters are black. A red square on the left with 26 white dots in 5 rows on top of each other.  The background is white. The style of the image is simple and modern. The image is a logo.",133255392,sd3.5-large-turbo,2,https://storage.googleapis.com/promptsteering/805d3402-e226-49d0-8a26-ecf9b87076a1.png,cean c clean in black letters with a large red box with a white c left above the logo and a large red c before the word clean,4166486176,0.7117794156074524
https://storage.googleapis.com/promptsteering/3268e172-1166-45d6-bfc9-1330c8bc1aa2.png,610976474abf156433949f84,"The word ""clean"" in lowercase letters on the right. The ""c"" is slightly larger than the other letters, and all letters are red. The word ""filters"" in all capital letters on the right. The letters are black. A red square on the left with 26 white dots in 5 rows on top of each other.  The background is white. The style of the image is simple and modern. The image is a logo.",133255392,sd3.5-large-turbo,3,https://storage.googleapis.com/promptsteering/002e43d9-552c-4200-915a-a54fb5ae7ffc.png,'cean clean' in black letters with a large red box with a white c above left to the words 'cean clean' and a large red c before the word clean,133255392,0.8381727933883667
https://storage.googleapis.com/promptsteering/3268e172-1166-45d6-bfc9-1330c8bc1aa2.png,610976474abf156433949f84,"The word ""clean"" in lowercase letters on the right. The ""c"" is slightly larger than the other letters, and all letters are red. The word ""filters"" in all capital letters on the right. The letters are black. A red square on the left with 26 white dots in 5 rows on top of each other.  The background is white. The style of the image is simple and modern. The image is a logo.",133255392,sd3.5-large-turbo,4,https://storage.googleapis.com/promptsteering/cbbf335a-b562-41a1-865f-bd07e1b39bbf.png,'cean clean' in black letters with a large red box with a white c above left to the words and a large red c before the word clean,4166486176,0.7369155287742615
https://storage.googleapis.com/promptsteering/3268e172-1166-45d6-bfc9-1330c8bc1aa2.png,610976474abf156433949f84,"The word ""clean"" in lowercase letters on the right. The ""c"" is slightly larger than the other letters, and all letters are red. The word ""filters"" in all capital letters on the right. The letters are black. A red square on the left with 26 white dots in 5 rows on top of each other.  The background is white. The style of the image is simple and modern. The image is a logo.",133255392,sd3.5-large-turbo,5,https://storage.googleapis.com/promptsteering/721a4516-39f8-4a02-b8ff-418563cf11e3.png,cean clean in black letters with a large red box with a white c above left to the words and a large red c before the word clean,4166486176,0.7612375020980835
